Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guangzhou,PM2.5 - Principal,2015-01-01 01:00 AM,2015,01,01,01,39.8,112,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 02:00 AM,2015,01,01,02,39.9,112,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 03:00 AM,2015,01,01,03,39.9,112,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 04:00 AM,2015,01,01,04,37.4,106,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 05:00 AM,2015,01,01,05,39.3,110,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 06:00 AM,2015,01,01,06,41.1,115,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 07:00 AM,2015,01,01,07,43.8,121,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 08:00 AM,2015,01,01,08,46.2,127,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 09:00 AM,2015,01,01,09,47.8,131,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 10:00 AM,2015,01,01,10,47.9,132,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 11:00 AM,2015,01,01,11,48.3,133,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 12:00 PM,2015,01,01,12,47.8,131,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 01:00 PM,2015,01,01,13,45.1,125,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 02:00 PM,2015,01,01,14,45.8,126,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 03:00 PM,2015,01,01,15,45.1,125,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 04:00 PM,2015,01,01,16,46.7,129,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 05:00 PM,2015,01,01,17,47.5,131,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 06:00 PM,2015,01,01,18,48.4,133,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 07:00 PM,2015,01,01,19,55.3,150,Unhealthy for Sensitive Groups,65.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 08:00 PM,2015,01,01,20,62.7,155,Unhealthy,71.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 09:00 PM,2015,01,01,21,66.3,157,Unhealthy,71.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 10:00 PM,2015,01,01,22,67.5,157,Unhealthy,69.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-01 11:00 PM,2015,01,01,23,69.0,158,Unhealthy,71.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 12:00 AM,2015,01,02,00,64.6,156,Unhealthy,59.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 01:00 AM,2015,01,02,01,62.2,154,Unhealthy,58.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 02:00 AM,2015,01,02,02,59.4,153,Unhealthy,55.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 03:00 AM,2015,01,02,03,57.9,152,Unhealthy,52.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 04:00 AM,2015,01,02,04,53.1,144,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 05:00 AM,2015,01,02,05,50.6,138,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 06:00 AM,2015,01,02,06,45.8,126,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 07:00 AM,2015,01,02,07,44.1,122,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 08:00 AM,2015,01,02,08,39.1,110,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 09:00 AM,2015,01,02,09,38.0,107,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 10:00 AM,2015,01,02,10,39.5,111,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 11:00 AM,2015,01,02,11,40.2,113,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 12:00 PM,2015,01,02,12,38.9,109,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 01:00 PM,2015,01,02,13,38.6,109,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 02:00 PM,2015,01,02,14,39.8,112,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 03:00 PM,2015,01,02,15,41.3,115,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 04:00 PM,2015,01,02,16,42.4,118,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 05:00 PM,2015,01,02,17,48.2,132,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 06:00 PM,2015,01,02,18,55.4,150,Unhealthy for Sensitive Groups,63.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 07:00 PM,2015,01,02,19,63.3,155,Unhealthy,70.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 08:00 PM,2015,01,02,20,69.1,158,Unhealthy,75.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 09:00 PM,2015,01,02,21,81.0,164,Unhealthy,93.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 10:00 PM,2015,01,02,22,99.5,174,Unhealthy,118.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-02 11:00 PM,2015,01,02,23,124.7,187,Unhealthy,150.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-03 12:00 AM,2015,01,03,00,129.4,189,Unhealthy,134.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-03 01:00 AM,2015,01,03,01,124.2,186,Unhealthy,119.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-03 02:00 AM,2015,01,03,02,119.1,184,Unhealthy,114.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-03 03:00 AM,2015,01,03,03,112.5,180,Unhealthy,106.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2015-01-03 04:00 AM,2015,01,03,04,109.7,179,Unhealthy,107.0,UG/M3,1 Hr,Valid
