Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guangzhou,PM2.5 - Principal,2020-01-02 11:00 AM,2020,01,02,11,-999.0,-999,N/A,50.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 12:00 PM,2020,01,02,12,47.3,130,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 01:00 PM,2020,01,02,13,49.1,134,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 02:00 PM,2020,01,02,14,49.6,136,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 03:00 PM,2020,01,02,15,49.2,135,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 04:00 PM,2020,01,02,16,46.5,128,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 05:00 PM,2020,01,02,17,45.0,124,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 06:00 PM,2020,01,02,18,42.2,117,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 07:00 PM,2020,01,02,19,40.0,112,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 08:00 PM,2020,01,02,20,40.0,112,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 09:00 PM,2020,01,02,21,43.1,120,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 10:00 PM,2020,01,02,22,47.9,132,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2020-01-02 11:00 PM,2020,01,02,23,54.4,148,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid
