Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guangzhou,PM2.5 - Principal,2016-01-01 01:00 AM,2016,01,01,01,57.8,152,Unhealthy,55.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 02:00 AM,2016,01,01,02,57.9,152,Unhealthy,58.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 03:00 AM,2016,01,01,03,58.2,152,Unhealthy,59.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 04:00 AM,2016,01,01,04,58.1,152,Unhealthy,58.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 05:00 AM,2016,01,01,05,56.5,152,Unhealthy,51.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 06:00 AM,2016,01,01,06,55.6,151,Unhealthy,51.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 07:00 AM,2016,01,01,07,51.8,141,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 08:00 AM,2016,01,01,08,51.0,139,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 09:00 AM,2016,01,01,09,50.9,139,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 10:00 AM,2016,01,01,10,52.1,142,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 11:00 AM,2016,01,01,11,52.0,142,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 12:00 PM,2016,01,01,12,51.7,141,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 01:00 PM,2016,01,01,13,56.2,151,Unhealthy,66.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 02:00 PM,2016,01,01,14,57.7,152,Unhealthy,61.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 03:00 PM,2016,01,01,15,59.4,153,Unhealthy,63.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 04:00 PM,2016,01,01,16,61.2,154,Unhealthy,65.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 05:00 PM,2016,01,01,17,61.8,154,Unhealthy,63.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2016-01-01 06:00 PM,2016,01,01,18,60.6,154,Unhealthy,58.0,UG/M3,1 Hr,Valid
