Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Shenyang,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,127.6,188,Unhealthy,120.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,124.5,187,Unhealthy,121.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,125.6,187,Unhealthy,127.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,126.7,188,Unhealthy,128.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,130.6,190,Unhealthy,135.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,131.7,190,Unhealthy,133.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,136.0,193,Unhealthy,141.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,139.3,194,Unhealthy,143.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,142.2,196,Unhealthy,158.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,148.7,199,Unhealthy,162.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,158.0,208,Very Unhealthy,176.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,168.1,218,Very Unhealthy,184.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,181.7,232,Very Unhealthy,199.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,188.6,239,Very Unhealthy,202.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,203.7,254,Very Unhealthy,221.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 04:00 PM,2017,01,01,16,211.0,261,Very Unhealthy,223.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 05:00 PM,2017,01,01,17,224.0,274,Very Unhealthy,238.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 06:00 PM,2017,01,01,18,227.5,277,Very Unhealthy,235.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 07:00 PM,2017,01,01,19,239.2,289,Very Unhealthy,253.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 08:00 PM,2017,01,01,20,243.6,293,Very Unhealthy,255.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 09:00 PM,2017,01,01,21,248.8,298,Very Unhealthy,258.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 10:00 PM,2017,01,01,22,254.2,305,Hazardous,267.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-01 11:00 PM,2017,01,01,23,256.2,307,Hazardous,263.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 12:00 AM,2017,01,02,00,259.8,310,Hazardous,273.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 01:00 AM,2017,01,02,01,261.2,312,Hazardous,265.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 02:00 AM,2017,01,02,02,257.3,308,Hazardous,250.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 03:00 AM,2017,01,02,03,255.7,306,Hazardous,247.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 04:00 AM,2017,01,02,04,252.4,303,Hazardous,233.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 05:00 AM,2017,01,02,05,245.1,295,Very Unhealthy,220.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 06:00 AM,2017,01,02,06,226.9,277,Very Unhealthy,194.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 07:00 AM,2017,01,02,07,189.2,239,Very Unhealthy,154.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 08:00 AM,2017,01,02,08,156.6,207,Very Unhealthy,130.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 09:00 AM,2017,01,02,09,140.3,195,Unhealthy,124.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 10:00 AM,2017,01,02,10,124.6,187,Unhealthy,109.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 11:00 AM,2017,01,02,11,119.7,184,Unhealthy,115.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 12:00 PM,2017,01,02,12,81.8,165,Unhealthy,44.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 01:00 PM,2017,01,02,13,62.9,155,Unhealthy,44.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 02:00 PM,2017,01,02,14,39.9,112,Unhealthy for Sensitive Groups,17.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 03:00 PM,2017,01,02,15,28.4,85,Moderate,17.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 04:00 PM,2017,01,02,16,24.6,77,Moderate,21.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 05:00 PM,2017,01,02,17,25.3,79,Moderate,26.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 06:00 PM,2017,01,02,18,28.1,85,Moderate,31.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 07:00 PM,2017,01,02,19,30.0,89,Moderate,32.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 08:00 PM,2017,01,02,20,38.5,108,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 09:00 PM,2017,01,02,21,48.2,132,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 10:00 PM,2017,01,02,22,56.1,151,Unhealthy,64.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-02 11:00 PM,2017,01,02,23,54.5,148,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2017-01-03 12:00 AM,2017,01,03,00,54.7,148,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
