Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Shanghai,PM2.5 - Principal,2018-01-01 01:00 AM,2018,01,01,01,240.9,291,Very Unhealthy,247.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 02:00 AM,2018,01,01,02,241.4,291,Very Unhealthy,242.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 03:00 AM,2018,01,01,03,234.5,284,Very Unhealthy,221.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 04:00 AM,2018,01,01,04,221.1,271,Very Unhealthy,190.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 05:00 AM,2018,01,01,05,182.7,233,Very Unhealthy,141.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 06:00 AM,2018,01,01,06,153.6,204,Very Unhealthy,128.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 07:00 AM,2018,01,01,07,138.0,194,Unhealthy,124.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 08:00 AM,2018,01,01,08,128.4,189,Unhealthy,119.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 09:00 AM,2018,01,01,09,114.7,182,Unhealthy,101.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 10:00 AM,2018,01,01,10,96.8,172,Unhealthy,79.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 11:00 AM,2018,01,01,11,82.3,165,Unhealthy,68.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 12:00 PM,2018,01,01,12,68.6,158,Unhealthy,55.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 01:00 PM,2018,01,01,13,64.8,156,Unhealthy,61.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 02:00 PM,2018,01,01,14,59.3,153,Unhealthy,54.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 03:00 PM,2018,01,01,15,54.1,147,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 04:00 PM,2018,01,01,16,50.0,137,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 05:00 PM,2018,01,01,17,42.0,117,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 06:00 PM,2018,01,01,18,36.9,104,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 07:00 PM,2018,01,01,19,37.9,107,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 08:00 PM,2018,01,01,20,39.9,112,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 09:00 PM,2018,01,01,21,39.4,111,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 10:00 PM,2018,01,01,22,38.2,108,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-01 11:00 PM,2018,01,01,23,36.7,104,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 12:00 AM,2018,01,02,00,34.9,99,Moderate,33.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 01:00 AM,2018,01,02,01,35.6,101,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 02:00 AM,2018,01,02,02,35.8,102,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 03:00 AM,2018,01,02,03,34.7,99,Moderate,32.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 04:00 AM,2018,01,02,04,35.2,100,Moderate,36.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 05:00 AM,2018,01,02,05,32.6,94,Moderate,28.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 06:00 AM,2018,01,02,06,31.1,91,Moderate,28.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 07:00 AM,2018,01,02,07,28.2,85,Moderate,25.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 08:00 AM,2018,01,02,08,30.6,90,Moderate,34.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 09:00 AM,2018,01,02,09,34.1,97,Moderate,40.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 10:00 AM,2018,01,02,10,34.8,99,Moderate,36.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 11:00 AM,2018,01,02,11,38.4,108,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 12:00 PM,2018,01,02,12,35.7,101,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 01:00 PM,2018,01,02,13,33.3,96,Moderate,30.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 02:00 PM,2018,01,02,14,33.6,96,Moderate,34.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 03:00 PM,2018,01,02,15,31.6,92,Moderate,29.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 04:00 PM,2018,01,02,16,29.2,87,Moderate,26.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 05:00 PM,2018,01,02,17,26.1,80,Moderate,23.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 06:00 PM,2018,01,02,18,26.5,81,Moderate,27.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 07:00 PM,2018,01,02,19,26.2,81,Moderate,26.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 08:00 PM,2018,01,02,20,26.1,80,Moderate,26.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 09:00 PM,2018,01,02,21,26.5,81,Moderate,27.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 10:00 PM,2018,01,02,22,27.2,83,Moderate,28.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-02 11:00 PM,2018,01,02,23,26.7,82,Moderate,26.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 12:00 AM,2018,01,03,00,25.4,79,Moderate,23.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 01:00 AM,2018,01,03,01,21.6,71,Moderate,18.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 02:00 AM,2018,01,03,02,16.2,60,Moderate,11.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 03:00 AM,2018,01,03,03,13.0,53,Moderate,10.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 04:00 AM,2018,01,03,04,14.0,55,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 05:00 AM,2018,01,03,05,16.0,59,Moderate,18.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 06:00 AM,2018,01,03,06,18.0,63,Moderate,20.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 07:00 AM,2018,01,03,07,23.5,75,Moderate,29.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 08:00 AM,2018,01,03,08,28.7,86,Moderate,34.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 09:00 AM,2018,01,03,09,31.3,91,Moderate,34.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 10:00 AM,2018,01,03,10,31.6,92,Moderate,32.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 11:00 AM,2018,01,03,11,31.3,91,Moderate,31.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 12:00 PM,2018,01,03,12,31.1,91,Moderate,31.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 01:00 PM,2018,01,03,13,36.0,102,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 02:00 PM,2018,01,03,14,36.5,103,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 03:00 PM,2018,01,03,15,34.2,97,Moderate,32.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 04:00 PM,2018,01,03,16,36.6,104,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 05:00 PM,2018,01,03,17,31.8,92,Moderate,27.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 06:00 PM,2018,01,03,18,26.5,81,Moderate,21.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 07:00 PM,2018,01,03,19,25.8,80,Moderate,25.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 08:00 PM,2018,01,03,20,23.9,76,Moderate,22.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 09:00 PM,2018,01,03,21,19.4,66,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 10:00 PM,2018,01,03,22,18.2,64,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-03 11:00 PM,2018,01,03,23,17.1,62,Moderate,16.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 12:00 AM,2018,01,04,00,17.0,61,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 01:00 AM,2018,01,04,01,14.5,56,Moderate,12.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 02:00 AM,2018,01,04,02,15.7,59,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 03:00 AM,2018,01,04,03,14.8,57,Moderate,14.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 04:00 AM,2018,01,04,04,11.9,50,Good,9.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 05:00 AM,2018,01,04,05,10.9,45,Good,10.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 06:00 AM,2018,01,04,06,10.9,45,Good,11.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 07:00 AM,2018,01,04,07,12.9,53,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 08:00 AM,2018,01,04,08,14.8,57,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 09:00 AM,2018,01,04,09,13.9,55,Moderate,13.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 10:00 AM,2018,01,04,10,14.4,56,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 11:00 AM,2018,01,04,11,9.2,38,Good,4.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 12:00 PM,2018,01,04,12,10.1,42,Good,11.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 01:00 PM,2018,01,04,13,12.0,50,Good,14.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 02:00 PM,2018,01,04,14,14.5,56,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 03:00 PM,2018,01,04,15,13.7,54,Moderate,13.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 04:00 PM,2018,01,04,16,14.3,56,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 05:00 PM,2018,01,04,17,14.6,56,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 06:00 PM,2018,01,04,18,14.8,57,Moderate,15.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 07:00 PM,2018,01,04,19,15.9,59,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 08:00 PM,2018,01,04,20,13.4,54,Moderate,11.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 09:00 PM,2018,01,04,21,11.7,49,Good,10.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 10:00 PM,2018,01,04,22,12.8,52,Moderate,14.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-04 11:00 PM,2018,01,04,23,12.5,52,Moderate,12.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 12:00 AM,2018,01,05,00,11.5,48,Good,10.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 01:00 AM,2018,01,05,01,9.6,40,Good,8.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 02:00 AM,2018,01,05,02,7.8,33,Good,6.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 03:00 AM,2018,01,05,03,6.9,29,Good,6.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 04:00 AM,2018,01,05,04,6.4,27,Good,6.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 05:00 AM,2018,01,05,05,7.2,30,Good,8.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 06:00 AM,2018,01,05,06,11.6,48,Good,16.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 07:00 AM,2018,01,05,07,14.3,56,Moderate,17.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 08:00 AM,2018,01,05,08,15.1,57,Moderate,16.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 09:00 AM,2018,01,05,09,16.5,60,Moderate,18.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 10:00 AM,2018,01,05,10,19.2,66,Moderate,22.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 11:00 AM,2018,01,05,11,21.1,70,Moderate,23.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 12:00 PM,2018,01,05,12,21.0,70,Moderate,21.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 01:00 PM,2018,01,05,13,21.5,71,Moderate,22.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 02:00 PM,2018,01,05,14,26.7,82,Moderate,32.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 03:00 PM,2018,01,05,15,32.8,95,Moderate,39.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 04:00 PM,2018,01,05,16,36.4,103,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 05:00 PM,2018,01,05,17,38.7,109,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 06:00 PM,2018,01,05,18,43.3,120,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 07:00 PM,2018,01,05,19,50.6,138,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 08:00 PM,2018,01,05,20,54.3,147,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 09:00 PM,2018,01,05,21,57.6,152,Unhealthy,61.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 10:00 PM,2018,01,05,22,59.8,153,Unhealthy,62.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-05 11:00 PM,2018,01,05,23,66.4,157,Unhealthy,73.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 12:00 AM,2018,01,06,00,66.7,157,Unhealthy,67.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 01:00 AM,2018,01,06,01,71.3,159,Unhealthy,76.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 02:00 AM,2018,01,06,02,72.5,160,Unhealthy,74.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 03:00 AM,2018,01,06,03,71.7,159,Unhealthy,71.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 04:00 AM,2018,01,06,04,69.5,158,Unhealthy,67.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 05:00 AM,2018,01,06,05,69.7,158,Unhealthy,70.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 06:00 AM,2018,01,06,06,68.8,158,Unhealthy,67.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 07:00 AM,2018,01,06,07,69.2,158,Unhealthy,70.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 08:00 AM,2018,01,06,08,70.3,159,Unhealthy,74.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 09:00 AM,2018,01,06,09,73.1,160,Unhealthy,81.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 10:00 AM,2018,01,06,10,73.0,160,Unhealthy,74.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 11:00 AM,2018,01,06,11,71.8,159,Unhealthy,67.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 12:00 PM,2018,01,06,12,64.6,156,Unhealthy,52.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 01:00 PM,2018,01,06,13,62.9,155,Unhealthy,60.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 02:00 PM,2018,01,06,14,61.8,154,Unhealthy,60.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 03:00 PM,2018,01,06,15,61.9,154,Unhealthy,62.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 04:00 PM,2018,01,06,16,64.0,155,Unhealthy,68.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 05:00 PM,2018,01,06,17,65.1,156,Unhealthy,67.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 06:00 PM,2018,01,06,18,62.9,155,Unhealthy,59.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 07:00 PM,2018,01,06,19,60.0,153,Unhealthy,55.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 08:00 PM,2018,01,06,20,57.4,152,Unhealthy,53.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 09:00 PM,2018,01,06,21,52.3,142,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 10:00 PM,2018,01,06,22,46.9,129,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-06 11:00 PM,2018,01,06,23,44.9,124,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 12:00 AM,2018,01,07,00,41.5,116,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 01:00 AM,2018,01,07,01,38.7,109,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 02:00 AM,2018,01,07,02,34.1,97,Moderate,30.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 03:00 AM,2018,01,07,03,33.5,96,Moderate,33.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 04:00 AM,2018,01,07,04,27.7,84,Moderate,22.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 05:00 AM,2018,01,07,05,24.3,77,Moderate,21.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 06:00 AM,2018,01,07,06,25.1,78,Moderate,26.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 07:00 AM,2018,01,07,07,24.5,77,Moderate,24.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 08:00 AM,2018,01,07,08,21.2,70,Moderate,18.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 09:00 AM,2018,01,07,09,21.1,70,Moderate,21.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 10:00 AM,2018,01,07,10,21.0,70,Moderate,21.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 11:00 AM,2018,01,07,11,20.0,68,Moderate,19.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 12:00 PM,2018,01,07,12,19.5,67,Moderate,19.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 01:00 PM,2018,01,07,13,20.7,69,Moderate,22.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 02:00 PM,2018,01,07,14,21.7,71,Moderate,23.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2018-01-07 03:00 PM,2018,01,07,15,20.9,70,Moderate,20.0,UG/M3,1 Hr,Valid
