Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guangzhou,PM2.5 - Principal,2019-01-01 01:00 AM,2019,01,01,01,32.8,95,Moderate,-999.0,UG/M3,1 Hr,Missing
Guangzhou,PM2.5 - Principal,2019-01-01 02:00 AM,2019,01,01,02,32.8,95,Moderate,-999.0,UG/M3,1 Hr,Missing
Guangzhou,PM2.5 - Principal,2019-01-02 04:00 PM,2019,01,02,16,-999.0,-999,N/A,17.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-02 05:00 PM,2019,01,02,17,17.5,62,Moderate,18.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-02 06:00 PM,2019,01,02,18,17.3,62,Moderate,17.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-02 07:00 PM,2019,01,02,19,15.6,58,Moderate,13.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-02 08:00 PM,2019,01,02,20,15.4,58,Moderate,15.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-02 09:00 PM,2019,01,02,21,14.6,56,Moderate,13.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-02 10:00 PM,2019,01,02,22,12.2,51,Moderate,10.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-02 11:00 PM,2019,01,02,23,13.0,53,Moderate,14.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 12:00 AM,2019,01,03,00,14.3,56,Moderate,16.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 01:00 AM,2019,01,03,01,13.7,54,Moderate,13.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 02:00 AM,2019,01,03,02,13.4,54,Moderate,13.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 03:00 AM,2019,01,03,03,11.1,46,Good,9.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 04:00 AM,2019,01,03,04,12.0,50,Good,13.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 05:00 AM,2019,01,03,05,11.1,46,Good,10.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 06:00 AM,2019,01,03,06,11.9,50,Good,13.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 07:00 AM,2019,01,03,07,12.4,52,Moderate,13.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 08:00 AM,2019,01,03,08,16.7,61,Moderate,21.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 09:00 AM,2019,01,03,09,15.8,59,Moderate,15.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 10:00 AM,2019,01,03,10,16.9,61,Moderate,18.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 11:00 AM,2019,01,03,11,18.9,65,Moderate,21.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 12:00 PM,2019,01,03,12,16.9,61,Moderate,15.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 01:00 PM,2019,01,03,13,20.9,70,Moderate,25.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 02:00 PM,2019,01,03,14,22.9,74,Moderate,25.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 03:00 PM,2019,01,03,15,24.5,77,Moderate,26.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 04:00 PM,2019,01,03,16,24.2,76,Moderate,24.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 05:00 PM,2019,01,03,17,25.1,78,Moderate,26.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 06:00 PM,2019,01,03,18,26.5,81,Moderate,28.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 07:00 PM,2019,01,03,19,28.7,86,Moderate,31.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 08:00 PM,2019,01,03,20,35.3,100,Moderate,42.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 09:00 PM,2019,01,03,21,39.2,110,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 10:00 PM,2019,01,03,22,38.1,107,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-03 11:00 PM,2019,01,03,23,39.0,110,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 12:00 AM,2019,01,04,00,37.9,107,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 01:00 AM,2019,01,04,01,37.9,107,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 02:00 AM,2019,01,04,02,37.9,107,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 03:00 AM,2019,01,04,03,38.8,109,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 04:00 AM,2019,01,04,04,38.4,108,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 05:00 AM,2019,01,04,05,40.0,112,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 06:00 AM,2019,01,04,06,39.0,110,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 07:00 AM,2019,01,04,07,38.5,108,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 08:00 AM,2019,01,04,08,37.0,105,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 09:00 AM,2019,01,04,09,37.4,106,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 10:00 AM,2019,01,04,10,39.0,110,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 11:00 AM,2019,01,04,11,41.1,115,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 12:00 PM,2019,01,04,12,49.2,135,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2019-01-04 01:00 PM,2019,01,04,13,53.0,144,Unhealthy for Sensitive Groups,58.0,UG/M3,1 Hr,Valid
